SampID,Treatment,TimeToClear
10378,A,3096.117909
10385,D,1821.768788
10387,A,2717.332513
10387,D,2570.888668
10388,B,1231.945024
10388,B,1490.58209
10389,C,1574.080774
10390,D,1236.899254
10391,C,1388.575332
10393,A,2000.182768
10401,B,2171.602429
10401,D,1684.651011
10404,B,1762.391899
10405,A,2934.095406
10405,A,2021.307728
10405,D,3319.971129
10406,A,2051.076148
10408,B,1587.983695
10408,B,2437.232995
10410,D,2291.503339
10418,D,1880.982533
10419,A,2358.658108
10420,A,2267.525929
10423,C,1224.25199
10429,C,1550.236822
10435,B,2050.094577
10436,B,1821.917921
10437,B,2352.618514
10439,A,2081.83046
10441,B,2716.680776
10444,A,341.4085168
10447,D,2611.719681
10450,A,1880.244509
10450,C,1975.789812
10453,A,2034.449272
10456,C,1619.64294
10457,D,2308.602772
10461,A,1440.101426
10461,D,1767.866251
10462,D,2490.922718
10463,D,2792.224529
10465,A,2994.25704
10471,A,2478.469661
10474,C,2655.750445
10475,A,2423.248676
10480,C,2069.204138
10482,D,2647.256696
10488,A,2449.423005
10489,B,2270.38775
10491,C,2008.777227
10493,A,2146.216532
10494,A,1502.06779
10496,D,1766.802813
10499,C,2365.233651
10502,B,2029.827171
10504,B,2439.638692
10504,B,1443.48076
10507,A,1730.895859
10508,B,1675.887563
10514,D,1471.70816
10516,B,2175.248577
10526,D,2167.899971
10530,A,2296.127809
10534,C,2550.695291
10535,B,1503.114612
10535,B,1631.061697
10536,D,2674.973957
10546,A,2863.160912
10547,B,1900.680387
10548,D,1627.152266
10549,C,1761.060038
10551,A,2600.121468
10551,D,1774.454965
10554,B,2113.380792
10558,A,793.597413
10562,C,2211.158969
10568,B,1366.514163
10575,B,1312.081203
10576,C,1694.825262
10578,A,1916.619474
10580,B,2034.31614
10580,C,3057.90771
10582,D,2539.152288
10585,C,778.8732738
10585,D,2372.425864
10588,D,3100.679526
10590,C,1548.697774
10591,C,2116.683686
10601,B,1911.617694
10605,D,2408.351618
10612,C,2343.219343
10613,B,1796.454881
10614,B,1796.141963
10616,B,2215.874153
10619,A,2101.959017
10620,B,1374.476737
10626,D,2673.16089
10630,A,2635.48615
10631,A,2511.607703
10642,A,2201.609934
10642,C,2568.78477
10646,C,3005.485598
10647,D,3467.967229
10659,A,2669.569535
10659,B,3467.387722
10663,A,2364.977099
10669,C,2047.846211
10670,B,2077.435954
10675,C,2134.869151
10678,C,2857.141326
10683,C,2402.097392
10689,B,2068.824892
10696,A,1596.770983
10700,B,2019.718141
10707,B,1988.147499
10711,B,2611.404121
10712,A,1763.255879
10715,D,2243.9155
10716,C,1564.160009
10717,B,1176.180657
10725,C,1779.114095
10729,A,2017.224908
10729,C,2478.863673
10730,C,2087.183431
10735,A,1998.180346
10736,A,1913.619699
10736,C,2282.689813
10739,C,1244.360184
10744,D,1710.730567
10745,C,804.4196088
10746,A,1953.866795
10748,D,2185.732934
10757,D,1251.1748
10758,B,1847.310261
10763,A,2110.099696
10765,B,910.6876165
10766,A,2591.003841
10769,C,1841.319219
10770,B,1403.396789
10772,B,1702.079278
10773,B,2701.958382
10773,B,1438.579616
10773,D,3040.192404
10774,C,1542.529794
10781,B,1246.707549
10783,D,2105.597893
10793,B,1466.412539
10794,D,1727.977097
10799,A,2412.783622
10802,A,1883.807134
10802,D,2664.093267
10806,B,2442.909971
10815,A,1932.749033
10815,D,1179.09821
10824,D,2045.332219
10824,D,2024.087327
10826,D,2770.547228
10827,D,2275.654127
10827,D,3107.273595
10828,A,2347.448156
10831,C,2190.971474
10833,A,3088.644535
10841,C,2415.175112
10843,C,1642.94547
10848,A,2475.360992
10848,C,2150.417512
10855,C,2219.956307
10858,A,1981.092666
10859,D,2082.409023
10860,D,1556.835057
10869,D,2069.900537
10870,B,1084.667183
10871,A,2000.605071
10872,D,1379.128765
10874,A,1364.43229
10874,C,2499.679623
10876,B,2671.304943
10877,A,2321.21911
10883,A,2114.315445
10886,C,2300.580299
10886,D,2938.307967
10897,D,2114.917508
10901,C,2576.666017
10902,C,2035.262258
10905,C,2069.081617
10905,D,2208.984612
10906,A,1393.604215
10908,D,1558.007747
10917,B,1777.78028
10918,D,2600.998181
10926,B,1710.959322
10926,D,1498.319612
10930,B,2523.364981
10930,D,2131.53869
10936,B,2189.030566
10937,A,2308.475843
10938,D,1815.564315
10942,B,1378.61408
10944,A,1999.409809
10952,B,1846.055469
10953,A,2155.890176
10959,B,2101.093887
10962,C,2700.301298
10976,D,1447.237902
10977,B,1682.084166
10981,A,1564.188193
10983,A,2706.031236
10985,A,3168.0421
10994,D,2083.028024
10996,A,2386.049081
11000,D,2430.788703
11001,C,1572.186159
11002,A,981.3389369
11002,D,1832.523933
11003,B,2538.781336
11004,B,2670.219453
11013,B,2032.647581
11018,A,1400.055954
11018,D,2080.682625
11021,A,2182.505412
11026,A,2642.108661
11027,C,1835.252514
11029,B,1572.555666
11032,D,1456.026764
11034,A,2891.094869
11034,A,2017.619594
11038,D,1044.912983
11040,C,1826.635693
11044,A,1567.507839
11050,B,2196.963085
11061,B,1873.60739
11062,D,1606.720121
11064,D,2734.196093
11069,A,2542.545237
11069,D,2701.665254
11072,A,2648.739737
11072,C,577.9190745
11075,B,2449.18138
11084,C,2160.421747
11095,C,1693.265904
11098,C,2156.346178
11100,A,2317.408011
11100,A,1522.445721
11100,D,2735.404986
11102,A,2325.623848
11103,A,1780.012691
11103,B,2379.417281
11105,D,2391.561389
11108,D,2315.788893
11110,D,2073.40457
11116,A,1997.848878
11118,C,2859.071536
11120,D,1530.227928
11121,D,1681.716676
11132,B,2395.12353
11137,D,1947.979611
11138,D,2311.087223
11139,B,2265.376553
11139,C,2454.003149
11140,A,2534.03406
11143,B,1229.777766
11143,B,2227.519653
11146,D,2397.94998
11148,B,2306.44807
11155,A,1594.117473
11155,B,2689.142816
11157,B,2056.352877
11163,A,1998.254153
11163,D,2058.969735
11164,A,2180.24407
11168,C,1648.639564
11172,A,2980.311504
11176,A,2266.363504
11178,A,2258.52529
11182,C,2078.835733
11186,C,1254.586927
11190,B,2488.039188
11192,A,1502.768458
11195,A,2383.199684
11195,A,2206.235658
11196,C,1662.431921
11199,D,1702.231801
11203,A,923.9718942
11203,B,1662.624558
11204,D,2272.160896
11215,B,1949.59326
11215,B,2441.828118
11217,B,1603.115278
11217,C,2689.566126
11220,B,2551.863394
11222,B,1541.243272
11226,A,1664.556549
11230,B,1412.055129
11231,A,2365.46261
11239,B,1344.759625
11246,D,2258.5642
11247,C,2637.298901
11248,D,1367.975929
11250,C,2160.559388
11250,C,1676.572644
11253,A,1490.570929
11260,B,1371.467497
11260,D,1214.23213
11262,D,2446.764088
11265,C,3431.463468
11267,B,1684.666665
11267,C,2115.113197
11269,D,1362.697723
11274,B,746.7582562
11276,A,1621.069246
11282,A,1479.699355
11289,B,3069.349396
11294,C,2176.234715
11295,D,858.3708257
11301,C,1405.676201
11304,D,1553.714086
11307,A,2915.600185
11311,C,1920.148533
11321,A,1644.012655
11329,A,2945.341016
11332,B,1544.003706
11332,C,2244.899926
11333,C,2144.153468
11337,B,1286.776718
11341,C,2478.199267
11342,D,2403.525171
11345,B,2754.178666
11347,A,1423.60422
11347,A,3049.179303
11348,B,2102.601819
11350,A,1413.078289
11358,B,1799.100679
11361,B,1470.530301
11363,A,1599.985956
11367,C,1502.595042
11374,B,2621.747903
11376,D,2451.368355
11379,A,1710.615471
11382,A,2561.573962
11385,B,1508.642286
11388,C,2471.529739
11392,A,1707.901472
11395,C,2145.969722
11395,D,2722.027953
11398,A,1274.709142
11401,A,2110.705222
11404,A,1770.144957
11404,D,2113.368344
11411,D,1930.588918
11413,D,2259.714782
11420,B,1782.2364
11427,B,1873.166344
11427,D,2223.8331
11429,C,1628.646177
11432,C,2228.603084
11434,C,1706.660697
11439,A,1618.683043
11443,C,1871.508558
11447,C,2127.049969
11460,D,2125.05045
11463,B,1786.535862
11463,C,2976.741073
11469,C,2197.040052
11470,A,2523.917238
11471,D,1636.530536
11475,C,2039.488637
11476,B,2763.775378
11478,D,2033.183081
11480,A,2751.222589
11483,D,1929.915584
11484,B,1921.394744
11496,A,2085.168832
11499,B,1455.463849
11501,B,1237.787838
11501,C,1551.100315
11502,C,2227.727207
11503,B,1916.524263
11509,A,2353.761158
11509,D,2127.463145
11510,D,1213.001259
11512,C,1730.807925
11514,C,1629.188603
11516,C,1346.716393
11525,C,2465.069
11525,C,3026.981899
11525,D,2829.068984
11527,B,1862.08395
11531,D,1038.234875
11532,D,2019.621989
11534,B,2052.367833
11535,B,1615.351904
11538,A,1908.615424
11539,A,1763.930539
11541,A,1295.606385
11541,B,2722.932113
11542,B,1065.482524
11549,D,2793.932709
11552,C,2203.564963
11561,B,2070.491188
11572,A,1319.654338
11572,D,2016.361921
11576,D,1948.893434
11576,D,2190.527398
11582,B,2327.944941
11583,D,2364.823413
11587,B,2238.77576
11587,B,2468.210416
11588,B,1380.613332
11589,A,3011.705067
11595,A,2519.479868
11595,D,1753.406105
11596,B,2688.975006
11600,A,1735.621762
11608,A,2442.657407
11609,C,2193.085086
11610,A,2091.031493
11613,D,1868.16298
11616,C,2340.724376
11618,B,2399.043456
11619,C,1819.748984
11627,D,1383.377745
11629,D,1457.181989
11632,D,1752.608496
11635,B,2177.117327
11648,B,1661.522036
11651,C,2861.33076
11653,A,1443.23772
11655,A,1569.869873
11655,C,2621.065439
11655,C,1785.053263
11656,D,1546.213228
11661,A,2181.46938
11667,C,1464.163469
11672,A,1885.112263
11675,B,1900.987854
11676,D,2273.701537
11681,B,2250.79689
11681,C,3554.663079
11688,A,2543.711013
11688,B,2194.897191
11689,D,2421.580369
11690,A,1857.303168
11692,A,2134.198973
11692,D,2188.412334
11693,D,2140.852055
11695,D,2042.527043
11702,A,2244.976297
11703,C,2576.108283
11704,D,2526.819664
11715,A,1213.136922
11719,C,2221.213406
11742,A,1787.212298
11742,C,2397.596979
11743,B,1607.819696
11744,B,2140.994979
11753,C,2431.362953
11756,B,2607.765048
11757,C,2935.444936
11763,A,1955.663796
11767,C,1917.117099
11768,A,2070.362968
11774,C,1896.602608
11775,D,2008.975551
11777,C,2172.320588
11779,D,1486.036301
11784,A,1982.148945
11786,A,2093.138631
11786,A,2515.876958
11795,B,2163.610259
11799,B,2739.536258
11803,C,2111.215954
11803,D,2450.867556
11804,A,2396.827885
11804,B,1975.122134
11816,C,1312.521211
11828,D,937.356533
11831,C,2443.910489
11835,C,1746.073036
11836,A,2037.845246
11837,C,2133.370313
11845,D,1652.229257
11848,C,2184.496681
11850,D,1904.828608
11855,C,1731.532821
11856,A,2017.671306
11858,D,2698.063872
11860,A,2283.493064
11865,B,2682.839603
11866,B,2749.112709
11866,C,2210.393043
11866,D,2024.782993
11870,A,1570.111084
11879,D,2957.46759
11879,D,2019.488356
11881,A,3036.253502
11886,C,1650.297436
11887,B,2588.455014
11889,C,2434.619621
11890,A,1817.169945
11898,B,1800.919006
11901,C,1888.436691
11901,D,1995.607933
11905,B,1668.938399
11920,B,1933.472282
11924,A,2671.74102
11925,D,3023.330646
11926,A,1924.349245
11929,B,2273.415242
11934,A,1613.481538
11934,C,2009.207526
11937,B,2262.639178
11944,C,760.2884896
11948,A,2822.061214
11950,D,1975.741689
11951,D,1635.901084
11952,A,2454.909813
11952,C,2337.15531
11954,B,1536.311684
11954,B,2517.533127
11958,A,2241.184206
11961,A,2241.560786
11962,D,2275.953777
11963,D,2224.474071
11965,A,1988.739358
11967,D,2980.395533
11970,A,1887.758545
11971,C,2045.881286
11981,D,2721.560683
11988,D,1954.694951
11988,D,2035.219969
11989,C,1686.697304
11991,D,1715.843109
11995,B,2392.44736
11995,D,1478.459348
11999,A,1580.655355
12001,B,3026.168321
12002,B,1838.725159
12011,C,1749.707349
12012,C,2734.820452
12013,B,1509.326736
12019,B,1860.399468
12020,D,2595.15128
12023,B,3263.040663
12034,B,2277.158285
12035,D,1894.181604
12037,D,2027.504117
12038,B,2275.164699
12040,B,2067.90125
12042,A,2174.727605
12043,A,1913.1203
12044,B,2582.426106
12052,B,2098.496244
12052,C,1749.127077
12057,D,2205.122418
12063,C,2784.169398
12065,B,1751.227594
12067,B,1651.522908
12069,C,768.5884414
12071,A,1756.692352
12072,C,2312.868035
12073,C,1664.687715
12084,B,2509.02339
12087,D,1804.3484
12090,C,1623.591553
12091,B,1988.674564
12092,A,2869.036362
12094,A,2449.959711
12105,C,1961.335555
12110,B,2246.204742
12110,D,2558.675267
12118,B,2238.099567
12119,D,2638.568224
12121,A,2373.427904
12124,B,2340.221939
12133,C,2260.440665
12133,C,2009.713649
12144,C,2092.847423
12144,D,1476.628424
12152,D,2559.836128
12155,B,1773.484554
12157,C,1807.828278
12158,C,1898.749808
12164,A,2639.694738
12167,B,1311.859656
12173,A,2061.642508
12177,C,2131.91029
12178,B,1190.277192
12180,C,2082.297192
12181,A,1259.862471
12181,D,2846.135974
12184,C,2635.984666
12186,C,2379.440158
12191,C,1901.709219
12194,A,2154.712254
12196,B,2194.901113
12200,A,2153.063338
12201,C,1716.006913
12207,A,2385.441276
12210,B,1781.303805
12212,A,1936.237448
12217,A,1973.693099
12218,A,3581.287189
12218,A,2788.105929
12218,A,2403.487974
12219,A,1743.618825
12220,B,1609.687398
12222,A,2421.350747
12222,C,1514.464799
12225,D,2335.428109
12232,C,2084.807682
12241,C,1623.210224
12244,D,2757.84643
12253,A,2014.105415
12253,C,2238.329322
12254,C,1977.839204
12259,D,2748.698409
12262,A,2952.834842
12264,B,2373.38016
12265,D,1794.11645
12266,A,2993.144721
12267,A,2860.0045
12270,D,2724.014398
12281,C,2338.063115
12282,A,1972.505699
12284,D,2483.453412
12292,D,2260.768437
12293,B,1996.524694
12294,D,2101.588157
12297,A,2231.920032
12297,D,1903.120329
12298,A,2374.002221
12300,A,1690.197934
12303,D,2175.242018
12305,C,1850.785339
12305,C,1341.766748
12310,A,2381.313314
12312,B,1354.364746
12315,C,2036.052123
12320,D,1936.568331
12324,D,2633.995172
12325,C,1791.575727
12325,D,1459.830374
12332,D,1842.524937
12334,B,1537.366264
12338,B,1842.541543
12340,D,2653.496173
12341,B,1084.63015
12342,D,1981.539592
12343,C,1066.858681
12343,D,1494.658308
12344,C,2514.098056
12345,B,2464.750922
12354,C,2065.706523
12355,A,1528.059784
12357,A,2036.540238
12363,D,2566.309011
12376,A,2106.714081
12379,B,1794.67167
12380,B,1601.197843
12380,D,2809.432621
12382,C,1707.065961
12384,B,2264.721306
12386,A,1388.736698
12386,B,2044.886132
12386,C,1437.757207
12390,C,1976.332286
12391,A,1485.835833
12392,C,2097.050515
12396,D,2973.296787
12404,D,2115.376583
12407,B,1886.20699
12408,A,2447.403525
12408,B,2247.342002
12410,A,2713.275343
12410,C,2631.306608
12412,C,1768.842786
12414,B,1934.605459
12416,B,1992.75985
12416,C,2284.1632
12422,A,986.6269143
12426,A,1838.556769
12429,C,1512.468097
12429,D,1775.54017
12430,C,1982.925122
12432,B,2343.612361
12434,A,2440.101984
12435,C,2197.799782
12438,D,3066.951155
12439,C,1831.646314
12441,B,2614.566029
12450,B,1987.312459
12451,B,907.8524915
12452,A,2083.038123
12455,C,2147.048612
12462,C,1786.089348
12466,D,1687.166373
12468,C,3190.042958
12468,D,2760.46811
12469,C,2239.372486
12472,A,1643.17487
12478,D,2539.427624
12480,D,1824.946927
12480,D,1683.667385
12484,B,1698.581249
12489,D,2261.852597
12503,B,2517.362744
12505,C,2361.197859
12507,C,2165.281818
12508,A,1793.379619
12513,D,1550.577009
12515,B,1798.421709
12521,B,2494.579037
12521,C,3740.17318
12522,D,1946.523019
12522,D,2410.626983
12529,A,1459.313812
12531,C,3320.500414
12531,D,2612.913678
12533,B,2662.473204
12534,D,1603.771584
12539,A,2229.994814
12543,C,1491.800267
12546,D,2235.735199
12548,D,1691.203179
12549,C,1908.978282
12554,C,1487.789223
12568,B,2213.524813
12571,B,1993.163093
12572,B,1802.724246
12573,C,2514.473884
12578,C,2241.491288
12580,A,1805.104349
12583,A,2030.651691
12584,B,1942.939817
12590,A,1235.651717
12594,A,2883.088207
12596,D,1936.592114
12598,B,1834.445262
12599,D,2034.744752
12602,A,1848.333212
12614,C,1421.652776
12621,B,3024.346459
12624,B,2181.519706
12629,C,2315.078686
12629,D,2482.535067
12631,B,2220.362143
12632,A,1498.841434
12640,A,2302.721217
12641,A,2108.275934
12643,C,2615.045376
12643,D,2603.349311
12651,B,2082.172162
12654,B,2392.274705
12655,B,2048.169722
12657,C,1542.975836
12659,D,2241.325126
12660,B,3024.80674
12661,D,2614.374168
12664,C,1771.676982
12665,B,2262.205382
12667,A,2142.215657
12669,B,1691.160422
12671,A,1243.660125
12672,A,1572.21125
12672,B,2700.269274
12674,B,1670.852918
12680,B,2217.463695
12680,D,1371.216803
12684,A,2197.797
12689,A,2260.324913
12692,C,2861.624352
12693,B,2057.800397
12700,C,1493.484822
12701,D,1543.507948
12703,B,1586.670513
12707,A,2169.175928
12713,A,1594.994434
12721,A,2001.042261
12721,C,3473.777623
12725,B,3370.303588
12727,B,2239.636432
12727,C,2075.791106
12729,D,1290.474942
12730,A,1783.245798
12733,A,1895.263437
12740,A,2761.7732
12742,A,2101.547302
12742,B,1991.087445
12746,B,1557.83699
12756,D,2106.290227
12760,D,3215.589657
12767,C,1224.765378
12776,A,2321.729839
12776,B,1984.686273
12779,D,2106.915519
12780,B,2584.293948
12786,A,2007.827911
12788,C,2046.031635
12790,D,1963.250528
12796,B,1151.945861
12797,C,1877.64299
12802,A,2408.01952
12803,B,2203.374477
12809,D,2473.947647
12812,A,2037.967785
12813,D,1231.832842
12814,B,1928.554148
12815,B,1798.670037
12815,C,2233.227082
12816,C,2621.999093
12833,B,1538.941357
12833,B,1583.908505
12836,C,2407.081836
12837,D,2806.064696
12837,D,2266.568651
12838,A,1973.203626
12846,A,2421.489755
12849,A,2074.180871
12853,D,2146.35546
12855,B,2830.059318
12857,B,1378.754607
12859,A,2059.449033
12860,A,2241.170377
12865,B,1542.071455
12865,C,2729.617194
12868,C,2238.296915
12871,C,2093.107594
12877,D,2091.961002
12879,B,1490.512007
12880,B,2842.722042
12880,B,1814.996787
12881,C,2272.564106
12883,D,2158.623794
12884,D,3001.847603
12886,D,2493.070771
12893,B,2443.201615
12897,B,2558.694847
12899,C,1963.782184
12901,D,2298.67386
12902,A,2273.066143
12902,B,2748.883315
12905,D,1943.26973
12915,C,2595.317506
12918,A,2171.530824
12921,A,2679.816871
12921,C,2837.101096
12925,A,1989.951349
12927,C,1554.103412
12932,B,1446.81944
12941,D,2259.443285
12942,B,2303.276285
12944,D,1638.050488
12949,D,2127.566279
12955,B,1863.500817
12959,A,2334.875699
12966,D,1478.325898
12968,C,1963.918576
12971,A,2133.897151
12972,A,2156.328796
12972,B,2023.421811
12972,D,1764.743836
12974,D,2821.130644
12980,A,2762.030461
12981,B,2426.575054
12982,D,2221.332149
12985,D,2655.021207
12987,B,2498.174521
12987,D,2264.569319
12994,D,2166.675843
12996,B,1677.994727
12999,A,2044.505248
13003,D,1853.893464
13004,A,2472.21374
13005,B,1557.272127
13006,A,3021.492307
13011,D,1534.785784
13018,A,1730.443094
13019,C,2612.004595
13020,C,1450.426984
13027,D,1596.467714
13031,D,1583.328044
13032,C,1957.42342
13036,A,2127.975711
13037,A,1930.935641
13037,A,2407.754095
13044,B,1573.589038
13046,A,1284.574543
13049,C,1430.33428
13060,D,1789.858307
13064,B,2192.950933
13065,C,1960.137395
13067,A,1880.468545
13068,A,3154.550457
13069,A,1953.499179
13069,D,1789.490813
13079,B,1976.281507
13092,B,1410.929642
13094,D,2210.43368
13095,D,2782.378962
13095,D,2103.25631
13096,D,2009.413831
13099,D,2444.705691
13104,C,1131.065609
13104,C,1740.528103
13105,B,1318.893564
13112,C,1637.853667
13121,B,2793.791096
13124,C,1991.877037
13124,C,1801.1049
13124,D,2098.730981
13125,B,1773.212933
13125,C,2580.288607
13126,A,1828.913191
13132,A,2141.328637
13133,C,2581.076248
13142,D,2280.232792
13144,C,2914.503563
13145,D,2239.108627
13160,D,1635.492785
13161,C,2063.17491
13165,C,2681.028624
13170,A,2061.178984
13173,B,2290.298591
13178,A,1416.999654
13178,D,1746.722597
13180,C,2223.397312
13184,A,1714.099489
13185,C,1674.701292
13187,A,1444.515574
13187,A,2208.981554
13195,B,1282.560471
13196,B,1254.354111
13198,A,2579.922803
13198,B,1655.199089
13207,B,2338.317059
13209,C,2424.144719
13211,A,2423.879563
13211,D,2209.946104
13214,C,2100.936365
13216,C,1714.010335
13217,B,2562.487135
13217,D,2899.344147
13220,D,845.9212615
13221,D,1927.27288
13228,A,2223.647688
13229,B,2004.127928
13231,B,1694.977136
13231,C,2450.811655
13235,B,1897.496195
13247,A,1497.426577
13247,C,2003.18487
13251,B,1944.944754
13254,D,3337.094376
13255,C,2077.718437
13256,D,2273.454775
13260,D,2569.186668
13261,D,2782.161627
13262,A,2373.430839
13263,A,1938.287135
13264,C,2269.397502
13271,C,2124.127975
13273,B,2518.584467
13279,C,2197.999802
13281,D,1456.146612
13287,A,2524.566107
13288,A,1975.527874
13292,C,2475.345132
13292,D,2203.446435
13294,D,1662.117668
13297,D,1636.661713
13298,B,1525.407077
13301,D,415.374089
13303,A,1634.957485
13309,A,1872.83678
13317,B,2457.526417
13317,B,3137.546966
13323,B,2134.61877
13326,A,1649.375194
13326,B,1656.988566
13327,D,1281.608814
13334,D,3081.800505
13337,A,1712.25639
13339,C,2528.091057
13340,D,1834.987492
13344,A,1411.96836
13348,B,1701.905319
13348,D,1391.650737
13350,B,1631.084588
13360,B,552.5238454
13365,A,2058.366909
13369,C,2395.573783
13370,B,1644.275072
13375,D,2350.279656
13379,A,1679.439349
13391,B,1980.491552
13394,C,938.6510864
13395,B,1561.220895
13397,D,2535.862433
13398,B,1979.161211
13398,C,1487.449788
13399,D,2613.132334
13407,A,2286.210898
13412,D,3016.462458
13413,C,2440.552137
13415,A,2081.862563
13415,B,1908.071264
13417,C,1544.83495
13421,B,1502.728495
13421,C,1235.779285
13424,B,1908.59249
13425,A,2493.937304
13426,B,2572.008716
13428,C,1887.472942
13429,B,2507.634096
13432,D,2163.340025
13433,A,1797.825907
13434,D,1734.985249
13441,C,2384.869933
13443,A,2002.579299
13443,C,2437.252897
13443,C,2058.226949
13445,D,3003.730655
13454,B,1390.12391
13454,D,2242.568515
13455,C,846.2049392
13456,A,3524.161182
13456,B,1890.625685
13457,B,1708.862896
13457,B,2257.790019
13461,A,2043.981882
13461,B,1933.75443
13465,C,2176.347168
13468,C,1742.981521
13471,D,2177.341587
13478,D,1966.842484
13481,D,1624.359656
13482,C,2248.742722
13482,C,2572.150369
13484,C,2643.468099
13489,A,2659.127986
13491,B,1980.606085
13494,B,1993.864098
13497,A,2805.506102
13497,C,2853.319234
13497,C,1594.636403
13499,D,1754.165793
13501,C,1261.503237
13503,A,2262.234679
13503,D,2529.858994
13508,B,2492.912858
13511,D,1532.240651
13513,A,2711.991065
13513,D,2680.050924
13514,B,1863.433036
13514,D,1547.184892
13519,A,1646.282034
13522,C,2470.270957
13522,C,2079.949262
13526,A,1661.547762
13526,B,2883.890708
13529,B,1583.326477
13531,D,1834.566481
13532,D,2659.586996
13534,B,2110.885605
13534,C,2158.55391
13537,C,1689.139269
13552,A,1513.053768
13553,B,2042.025679
13557,B,2437.459738
13559,A,765.8168684
13561,A,2142.064506
13561,B,2050.85278
13567,A,2529.881529
13571,C,2432.351543
13572,C,2145.025602
13573,C,2044.346492
13581,A,1310.06986
13586,B,2295.307057
13587,D,1817.30178
13595,B,2257.419576
13599,A,2570.102299
13606,A,2182.156706
13606,B,1555.131647
13606,C,2136.306123
13611,D,1980.182499
13613,A,2213.854826
13616,A,1855.637141
13617,B,1723.141107
13622,B,1846.986612
13625,B,1826.733087
13625,C,2708.304395
13626,A,2205.070113
13629,D,2410.359969
13630,A,2003.202998
13632,A,2924.531878
13637,B,2150.889098
13644,B,2538.600611
13646,B,2064.315442
13648,D,1659.429112
13650,C,1689.134927
13650,D,2855.402548
13652,D,1519.201642
13662,B,2072.997303
13663,B,2842.093023
13667,C,2001.862323
13668,C,1795.680373
13668,D,2133.94698
13672,A,1745.993337
13673,B,2159.815617
13674,A,2174.051799
13676,C,1407.3291
13676,D,2168.743517
13678,B,2212.989011
13680,B,1995.485152
13683,B,2617.400468
13688,B,2179.969978
13690,A,1932.460158
13693,A,1964.974958
13695,B,2506.497169
13699,A,1861.013222
13701,B,3021.566156
13703,C,2321.919952
13706,B,1611.124279
13713,B,1865.80696
13715,B,1645.503282
13717,A,1613.178647
13722,A,2299.696031
13727,C,1606.099991
13731,A,2097.337838
13736,A,1479.836144
13737,D,2333.415514
13738,B,1687.226965
13740,C,1540.300468
13740,D,2361.026323
13741,A,1105.389669
13744,B,2059.237993
13746,A,2348.480934
13752,B,1598.611731
13757,C,2191.719216
13759,B,2316.013933
13760,A,2177.499293
13760,A,592.6674788
13760,D,1986.701886
13761,A,767.2605064
13764,A,1365.525006
